0.3,55,,,,,,,BPM,160,,1,1.5,,1,0.3
6.3,0,3,,,,,,,,,2,0.75,,2,1.8
6.675,2,,,,,,,,,,3,0.5,,3,3.3
7.05,1,,,,,,,,,,4,0.375,,4,4.8
7.425,2,,,,,,,,,,5,0.3,,5,6.3
7.8,0,3,,,,,,,,,6,0.25,,6,7.8
8.175,1,,,,,,,,,,7,0.214285714,,7,9.3
8.55,2,,,,,,,,,,8,0.1875,,8,10.8
8.925,1,,,,,,,,,,9,0.166666667,,9,12.3
9.3,0,3,,,,,,,,,10,0.15,,10,13.8
9.675,2,,,,,,,,,,11,0.136363636,,11,15.3
10.05,1,,,,,,,,,,12,0.125,,12,16.8
10.425,2,,,,,,,,,,13,0.115384615,,13,18.3
10.8,0,3,,,,,,,,,14,0.107142857,,14,19.8
11.175,1,,,,,,,,,,15,0.1,,15,21.3
11.55,2,,,,,,,,,,16,0.09375,,16,22.8
11.925,1,,,,,,,,,,17,0.088235294,,17,24.3
12.3,5,8,,,,,,,,,18,0.083333333,,18,25.8
12.675,2,10,13,,,,,,,,19,0.078947368,,19,27.3
13.05,1,,,,,,,,,,20,0.075,,,
13.425,2,,,,,,,,,,21,0.071428571,,,
13.8,5,8,,,,,,,,,22,0.068181818,,,
14.175,1,10,13,,,,,,,,23,0.065217391,,,
14.55,2,,,,,,,,,,24,0.0625,,,
14.925,1,,,,,,,,,,,,,,
15.3,5,8,,,,,,,,,,,,,
15.675,2,10,13,,,,,,,,,,,,
16.05,1,,,,,,,,,,,,,,
16.425,2,,,,,,,,,,,,,,
16.8,5,8,,,,,,,,,,,,,
17.175,1,10,13,,,,,,,,,,,,
17.55,2,,,,,,,,,,,,,,
17.925,1,,,,,,,,,,,,,,
18.3,3,,,,,,,,,,,,,,
18.425,0,,,,,,,,,,,,,,
18.55,,,,,,,,,,,,,,,
18.675,2,,,,,,,,,,,,,,
19.05,1,,,,,,,,,,,,,,
19.425,2,,,,,,,,,,,,,,
19.8,0,,,,,,,,,,,,,,
19.925,3,,,,,,,,,,,,,,
20.05,,,,,,,,,,,,,,,
20.175,1,,,,,,,,,,,,,,
20.55,2,,,,,,,,,,,,,,
20.925,1,,,,,,,,,,,,,,
21.3,3,,,,,,,,,,,,,,
21.425,0,,,,,,,,,,,,,,
21.55,,,,,,,,,,,,,,,
21.675,2,,,,,,,,,,,,,,
22.05,1,,,,,,,,,,,,,,
22.425,2,,,,,,,,,,,,,,
22.8,0,,,,,,,,,,,,,,
22.925,3,,,,,,,,,,,,,,
23.05,,,,,,,,,,,,,,,
23.175,1,,,,,,,,,,,,,,
23.55,2,,,,,,,,,,,,,,
23.925,1,,,,,,,,,,,,,,
24.3,1,2,,,,,,,,,,,,,
24.675,0,1,3,,,,,,,,,,,,
25.05,0,2,3,,,,,,,,,,,,
25.425,0,1,3,,,,,,,,,,,,
25.8,1,2,,,,,,,,,,,,,
26.175,0,2,3,,,,,,,,,,,,
26.55,0,1,3,,,,,,,,,,,,
26.925,0,2,3,,,,,,,,,,,,
27.3,1,2,,,,,,,,,,,,,
27.675,0,1,3,,,,,,,,,,,,
28.05,0,2,3,,,,,,,,,,,,
28.425,0,1,3,,,,,,,,,,,,
28.8,1,2,,,,,,,,,,,,,
29.175,0,2,3,,,,,,,,,,,,
29.55,0,1,3,,,,,,,,,,,,
29.925,0,2,3,,,,,,,,,,,,
30.3,2,,,,,,,,,,,,,,
30.425,1,,,,,,,,,,,,,,
30.55,,,,,,,,,,,,,,,
30.675,3,,,,,,,,,,,,,,
30.7375,1,,,,,,,,,,,,,,
30.8,0,,,,,,,,,,,,,,
30.8625,,,,,,,,,,,,,,,
31.05,0,,,,,,,,,,,,,,
31.1125,2,,,,,,,,,,,,,,
31.175,3,,,,,,,,,,,,,,
31.2375,,,,,,,,,,,,,,,
31.425,3,,,,,,,,,,,,,,
31.4875,1,,,,,,,,,,,,,,
31.55,0,,,,,,,,,,,,,,
31.6125,,,,,,,,,,,,,,,
31.8,1,,,,,,,,,,,,,,
31.925,2,,,,,,,,,,,,,,
32.05,,,,,,,,,,,,,,,
32.175,3,,,,,,,,,,,,,,
32.2375,2,,,,,,,,,,,,,,
32.3,0,,,,,,,,,,,,,,
32.3625,,,,,,,,,,,,,,,
32.55,0,,,,,,,,,,,,,,
32.6125,1,,,,,,,,,,,,,,
32.675,3,,,,,,,,,,,,,,
32.7375,,,,,,,,,,,,,,,
