1.16847439,42
5.236271,4
5.744746,4
6.253221,4
6.761695,4
7.27017,4
9.812542644,0
10.82948864,1
11.8464378,2
12.86338695,3
13.8803361,3
14.89728525,2
15.91423441,1
16.93118356,0
17.94813271,1
18.96508186,2
19.98203102,0
20.99898017,3
22.01592932,1
23.03287847,0
24.04982763,2
25.06677678,3
26.08372593,1
27.10067508,0
28.11762424,2
29.13457339,3
29.64305,0
30.15153,0
30.66,1
31.16847,1
31.67694458,2
32.18541915,2
32.69389373,3
33.20236831,3
34.21931746,0
35.23626661,1
36.25321576,2
37.27016492,3
38.28711407,3
39.30406322,2
40.32101237,1
41.33796153,0
42.35491068,3
43.37185983,0
44.38880898,1
45.40575814,2
45.91423271,0
46.42271,1
46.93119,2
47.43966,3
47.94814,1
48.45661,2
48.96509,4
49.98203458,3
50.99898373,0
52.01593288,1
52.52441,2
53.03288458,1
54.04983373,0
55.06678288,3
56.08373203,2
56.59220661,1
57.10068119,2
58.11763034,3
59.13457949,0
60.15152864,4
60.66000322,4
61.1684778,4
62.18542,1
63.20238,2
64.72779458,0
65.74474373,1
66.76169288,2
67.77864203,3
68.79559119,2
69.81254034,1
70.82948949,0
71.84643864,1
72.8633878,0
73.37186237,1
73.88033695,2
74.8972861,3
75.40576068,2
75.91423525,1
76.93119,3
77.94814,0
78.96509,1
79.47356,4
